IP Address,Device Count,Time Stamp,GPS_LAT,GPS_LONG,Building Name
160.39.2.1,10,12/8/22 15:11,40.80723,-73.96144,Kent Building
160.39.3.1,9,12/8/22 15:11,40.80638,-73.96168,Hartley Hall
160.39.4.1,13,12/8/22 15:11,40.80791,-73.96322,GSAS
160.39.0.1,7,12/8/22 15:11,40.80895,-73.96057,MUD
160.39.5.1,3,12/8/22 15:11,40.80738,-73.96395,Furnald Hall
160.39.6.1,86,12/8/22 15:11,40.80766,-73.9597,SIPA
160.39.1.1,1,12/8/22 15:11,40.80766,-73.9597,SIPA
160.39.10.1,85,12/8/22 15:12,40.80702,-73.96022,Law School
160.39.9.1,61,12/8/22 15:12,40.80766,-73.9597,SIPA
160.39.12.1,19,12/8/22 15:12,40.80755,-73.96134,"Buell, Philosophy, Chapel"
160.39.11.1,71,12/8/22 15:12,40.80702,-73.96022,Law School
160.39.7.1,91,12/8/22 15:12,40.80722,-73.95905,East Campus Housing
160.39.13.1,24,12/8/22 15:12,40.80766,-73.9597,SIPA
160.39.8.1,72,12/8/22 15:12,40.80722,-73.95905,East Campus Housing
160.39.15.1,4,12/8/22 15:12,40.80851,-73.96249,Earl Hall
160.39.17.1,8,12/8/22 15:12,40.80766,-73.9597,SIPA
160.39.14.1,4,12/8/22 15:12,40.80687,-73.9618,Admissions Building
160.39.19.1,8,12/8/22 15:12,40.80939,-73.9623,Havemeyer Hall
160.39.18.1,15,12/8/22 15:12,40.80738,-73.96395,Furnald Hall
160.39.16.1,20,12/8/22 15:12,40.8082,-73.96185,Low Library
160.39.23.1,11,12/8/22 15:13,40.80734,-73.96069,Bridge Lawn
160.39.21.1,18,12/8/22 15:13,40.80694,-73.96278,Sundial Lawn
160.39.24.1,7,12/8/22 15:13,40.80823,-73.96093,Architecture School
160.39.22.1,14,12/8/22 15:13,40.80823,-73.96093,Architecture School
160.39.20.1,12,12/8/22 15:13,40.80823,-73.96093,Architecture School
160.39.26.1,8,12/8/22 15:13,40.80738,-73.96395,Furnald Hall
160.39.25.1,5,12/8/22 15:13,40.80759,-73.96348,Journalism School
160.39.31.1,21,12/8/22 15:14,40.80722,-73.95905,East Campus Housing
160.39.32.1,24,12/8/22 15:14,40.80722,-73.95905,East Campus Housing
160.39.28.1,11,12/8/22 15:14,40.80734,-73.96069,Bridge Lawn
160.39.30.1,9,12/8/22 15:14,40.80681,-73.96405,"Carman Hall, Columbia Store"
160.39.29.1,8,12/8/22 15:14,40.80585,-73.96247,John Jay Hall
160.39.27.1,3,12/8/22 15:14,40.80585,-73.96247,John Jay Hall
160.39.33.1,20,12/8/22 15:14,40.80755,-73.96134,"Buell, Philosophy, Chapel"
160.39.37.1,11,12/8/22 15:15,40.80694,-73.96278,Sundial Lawn
160.39.35.1,11,12/8/22 15:15,40.8082,-73.96185,Low Library
160.39.38.1,10,12/8/22 15:15,40.80722,-73.95905,East Campus Housing
